country,points,price,records
France,80,22.5,2
France,81,14.33333333,12
France,82,16.31818182,22
France,83,18.26190476,84
France,84,20.44811321,212
France,85,18.53074434,309
France,86,20.56507937,315
France,87,21.45560748,428
France,88,31.30590717,474
France,89,29.06666667,300
France,90,32.35054348,368
France,91,36.11567164,268
France,92,47.94067797,118
France,93,80.41463415,82
France,94,123.8684211,76
France,95,216.7254902,51
France,96,388.75,28
France,97,434.0625,16
France,98,683,4
France,100,877.25,4
US,80,40,1
US,81,42.25,4
US,82,41.21428571,14
US,83,33.57142857,21
US,84,37.29787234,47
US,85,37.59722222,72
US,86,36.40517241,116
US,87,40.69798658,149
US,88,45.34246575,219
US,89,43.38235294,170
US,90,55.95305164,213
US,91,54.10909091,275
US,92,66.2744186,215
US,93,81.4469697,132
US,94,102.4257426,101
US,95,107.675,40
US,96,162.2727273,11
US,97,210.5,10
US,98,162,5
US,99,300,1
US,100,450,1
