country,points,price,records
France,81,15.66666667,3
France,82,19.14285714,7
France,83,20.32142857,28
France,84,20.01136364,88
France,85,20.35220126,159
France,86,23.14201183,169
France,87,27.23206751,237
France,88,35.36428571,280
France,89,42.78865979,194
France,90,47.14516129,248
France,91,56.3943662,213
France,92,67.95260664,211
France,93,87.53513514,185
France,94,123.6296296,108
France,95,196.34375,64
France,96,250.5,18
France,97,427.0833333,12
France,98,548,3
France,99,680,2
France,100,617,1
US,80,18.33333333,12
US,81,15.54347826,46
US,82,17.88811189,143
US,83,18.15909091,176
US,84,19.97530864,405
US,85,20.72941176,510
US,86,23.16507937,630
US,87,23.89571263,863
US,88,26.87153652,794
US,89,28.43370787,445
US,90,33.1937046,826
US,91,37.01458671,617
US,92,40.64298725,549
US,93,46.57107843,408
US,94,54.41176471,221
US,95,55.88172043,93
US,96,63.03703704,27
US,97,60.83333333,6
US,98,80,1
US,99,44,1
