Min Points,Country,Bordeaux-style Red Blend,Chardonnay,Pinot Gris,Pinot Noir,Riesling,Rosé
80,France,4725,2808,458,1966,718,1923
80,US,1824,6801,868,9885,1753,907
81,France,4723,2808,457,1965,718,1922
81,US,1823,6789,867,9876,1751,902
82,France,4708,2804,457,1965,718,1918
82,US,1819,6743,866,9850,1746,892
83,France,4679,2792,456,1960,715,1902
83,US,1805,6600,861,9729,1728,865
84,France,4573,2756,453,1941,711,1852
84,US,1784,6423,838,9602,1698,828
85,France,4316,2646,441,1865,699,1674
85,US,1737,6017,815,9323,1601,755
86,France,3949,2447,421,1756,669,1417
86,US,1665,5505,745,8897,1441,689
87,France,3556,2228,394,1648,643,1132
87,US,1549,4870,640,8229,1267,572
88,France,3027,1923,358,1473,587,835
88,US,1400,4004,506,7273,972,445
89,France,2424,1579,303,1247,516,535
89,US,1179,3201,338,6209,674,297
90,France,1972,1325,233,1051,447,391
90,US,1009,2754,260,5451,489,203
91,France,1432,1011,171,842,364,207
91,US,796,1927,140,4263,271,78
92,France,956,755,126,643,290,81
92,US,518,1309,58,3096,160,27
93,France,640,488,86,432,205,24
93,US,301,760,13,1848,88,4
94,France,371,253,40,239,127,2
94,US,169,349,4,899,45,2
95,France,184,121,13,106,53,0
95,US,68,128,0,292,14,1
96,France,95,41,3,31,20,0
96,US,28,35,0,96,2,1
97,France,47,18,0,9,4,0
97,US,17,8,0,31,0,0
98,France,17,6,0,4,0,0
98,US,7,2,0,8,0,0
99,France,8,3,0,0,0,0
99,US,2,1,0,2,0,0
100,France,4,1,0,0,0,0
100,US,1,0,0,0,0,0
