country,points,price,records
France,80,20,1
France,82,13.25,4
France,83,17.46666667,15
France,84,20.09836066,61
France,85,23.84536082,97
France,86,27.51219512,82
France,87,32.24460432,139
France,88,42.97058824,170
France,89,50.56363636,165
France,90,54.66060606,165
France,91,77.72,150
France,92,88.09770115,174
France,93,115.8636364,154
France,94,172.7567568,111
France,95,279.5833333,60
France,96,528.6,20
France,97,355.2,5
France,98,197,3
US,80,21.55555556,9
US,81,21.34615385,26
US,82,24.26446281,121
US,83,25.30708661,127
US,84,27.09677419,279
US,85,29.44575472,424
US,86,32.72932331,665
US,87,34.96950578,951
US,88,38.59678942,1059
US,89,41.42649007,755
US,90,45.17383966,1185
US,91,48.16638079,1166
US,92,52.74216867,1245
US,93,56.40126716,947
US,94,60.45379538,606
US,95,64.25,196
US,96,73.52307692,65
US,97,82.65217391,23
US,98,94.66666667,6
US,99,84.5,2
