,country,description,designation,points,price,province,region_1,taster_name,title,variety,winery
2,US,,,87,14.0,,,,,Pinot Gris,
3,US,,,87,13.0,,,,,Riesling,
4,US,,,87,65.0,,,,,Pinot Noir,
7,France,,,87,24.0,,,,,Gewürztraminer,
9,France,,,87,27.0,,,,,Pinot Gris,
10,US,,,87,19.0,,,,,Cabernet Sauvignon,
11,France,,,87,30.0,,,,,Gewürztraminer,
12,US,,,87,34.0,,,,,Cabernet Sauvignon,
14,US,,,87,12.0,,,,,Chardonnay,
19,US,,,87,32.0,,,,,Meritage,
20,US,,,87,23.0,,,,,Red Blend,
21,US,,,87,20.0,,,,,Pinot Noir,
23,US,,,87,22.0,,,,,Merlot,
25,US,,,87,69.0,,,,,Pinot Noir,
29,US,,,86,16.0,,,,,Chenin Blanc,
33,US,,,86,50.0,,,,,Red Blend,
34,US,,,86,20.0,,,,,Sauvignon Blanc,
35,US,,,86,50.0,,,,,Pinot Noir,
41,US,,,86,22.0,,,,,Pinot Noir,
42,France,,,86,9.0,,,,,Gamay,
43,US,,,86,14.0,,,,,Sauvignon Blanc,
45,US,,,86,40.0,,,,,Red Blend,
47,US,,,86,13.0,,,,,Riesling,
48,US,,,86,16.0,,,,,Sauvignon Blanc,
49,France,,,86,14.0,,,,,Gamay,
53,France,,,85,15.0,,,,,Bordeaux-style White Blend,
55,US,,,85,30.0,,,,,Chardonnay,
56,US,,,85,14.0,,,,,Chardonnay,
59,US,,,86,55.0,,,,,Malbec,
60,US,,,86,100.0,,,,,Cabernet Sauvignon,
62,US,,,86,25.0,,,,,Cabernet Franc,
63,France,,,86,58.0,,,,,Champagne Blend,
64,US,,,86,26.0,,,,,Sauvignon Blanc,
65,France,,,86,24.0,,,,,Chardonnay,
66,France,,,86,15.0,,,,,Chardonnay,
67,US,,,86,46.0,,,,,Bordeaux-style Red Blend,
68,US,,,86,12.0,,,,,Red Blend,
69,France,,,86,55.0,,,,,Champagne Blend,
70,US,,,86,12.0,,,,,Chardonnay,
71,US,,,86,40.0,,,,,Cabernet Sauvignon,
73,US,,,86,75.0,,,,,Cabernet Sauvignon,
74,US,,,86,55.0,,,,,Petite Sirah,
75,US,,,86,75.0,,,,,Bordeaux-style Red Blend,
78,US,,,86,25.0,,,,,Pinot Noir,
82,France,,,86,11.0,,,,,Petit Manseng,
84,US,,,86,24.0,,,,,Zinfandel,
86,US,,,86,20.0,,,,,Albariño,
87,US,,,86,55.0,,,,,Merlot,
90,US,,,88,23.0,,,,,Red Blend,
91,US,,,88,18.0,,,,,Pinot Gris,
92,US,,,88,55.0,,,,,Meritage,
94,US,,,88,22.0,,,,,Viognier,
95,France,,,88,20.0,,,,,Gamay,
96,France,,,88,18.0,,,,,Gamay,
97,US,,,88,20.0,,,,,Riesling,
99,US,,,88,75.0,,,,,Bordeaux-style Red Blend,
100,US,,,88,18.0,,,,,Pinot Gris,
101,US,,,87,20.0,,,,,Riesling,
102,US,,,87,20.0,,,,,Riesling,
108,US,,,87,26.0,,,,,Zinfandel,
110,France,,,87,23.0,,,,,Gamay,
111,US,,,87,85.0,,,,,Cabernet Sauvignon,
114,US,,,87,18.0,,,,,Bordeaux-style Red Blend,
115,US,,,87,18.0,,,,,Chardonnay,
116,US,,,87,25.0,,,,,Grenache Blanc,
117,US,,,87,44.0,,,,,Syrah,
119,France,,,92,80.0,,,,,Riesling,
121,US,,,92,36.0,,,,,Chardonnay,
122,US,,,92,39.0,,,,,Zinfandel,
124,US,,,92,45.0,,,,,Cabernet Sauvignon,
126,France,,,91,48.0,,,,,Gewürztraminer,
127,France,,,91,13.0,,,,,White Blend,
128,France,,,91,17.0,,,,,Pinot Blanc,
131,France,,,91,20.0,,,,,Alsace white blend,
134,US,,,91,78.0,,,,,Cabernet Sauvignon,
136,France,,,91,50.0,,,,,Bordeaux-style Red Blend,
138,France,,,90,10.0,,,,,Alsace white blend,
139,France,,,90,112.0,,,,,Pinot Gris,
142,US,,,90,17.0,,,,,Riesling,
143,France,,,90,84.0,,,,,Pinot Gris,
144,US,,,91,85.0,,,,,Cabernet Sauvignon,
145,US,,,91,64.0,,,,,Pinot Noir,
146,US,,,91,68.0,,,,,Cabernet Sauvignon,
147,US,,,91,68.0,,,,,Cabernet Sauvignon,
149,US,,,91,35.0,,,,,Rhône-style Red Blend,
150,US,,,91,25.0,,,,,Cabernet Sauvignon,
152,US,,,91,55.0,,,,,Pinot Noir,
153,US,,,91,46.0,,,,,Syrah,
155,US,,,91,36.0,,,,,Syrah,
160,France,,,91,35.0,,,,,Malbec,
161,US,,,91,35.0,,,,,Red Blend,
162,US,,,91,28.0,,,,,Riesling,
166,France,,,91,25.0,,,,,Tannat-Cabernet,
167,US,,,91,28.0,,,,,Cabernet Franc,
168,US,,,91,95.0,,,,,Merlot,
169,US,,,91,44.0,,,,,Pinot Noir,
173,US,,,91,38.0,,,,,Pinot Noir,
178,US,,,88,25.0,,,,,Syrah,
179,France,,,88,27.0,,,,,Chardonnay,
180,US,,,88,23.0,,,,,Chardonnay,
181,US,,,88,36.0,,,,,Pinot Noir,
184,US,,,88,35.0,,,,,Chardonnay,
186,US,,,88,40.0,,,,,Pinot Noir,
193,France,,,87,35.0,,,,,Chardonnay,
198,US,,,90,60.0,,,,,Cabernet Sauvignon,
199,US,,,90,28.0,,,,,Cabernet Franc,
204,US,,,90,30.0,,,,,G-S-M,
205,US,,,90,25.0,,,,,Chardonnay,
206,US,,,90,25.0,,,,,Cabernet Sauvignon,
207,US,,,90,32.0,,,,,Zinfandel,
209,France,,,90,16.0,,,,,Rhône-style Red Blend,
211,France,,,90,32.0,,,,,Rhône-style Red Blend,
213,US,,,90,48.0,,,,,Red Blend,
214,US,,,90,36.0,,,,,Rhône-style Red Blend,
218,US,,,90,20.0,,,,,Fumé Blanc,
220,US,,,90,40.0,,,,,Chardonnay,
227,US,,,85,15.0,,,,,Pinot Noir,
228,US,,,85,14.0,,,,,Riesling,
229,US,,,85,18.0,,,,,Red Blend,
230,US,,,85,16.0,,,,,Gewürztraminer,
